id,location_code,holiday_date,holiday_name,holiday_desc,lang_code,is_active,cr_by,cr_dtimes
2000001,KTA,01-01-2023,New Year's Day,National Holiday,eng,TRUE,superadmin,now()
2000002,KTA,01-11-2023,Anniversary of the Independence Manifesto,National Holiday,eng,TRUE,superadmin,now()
2000003,KTA,05-01-2023,Labour Day/May Day,National Holiday,eng,TRUE,superadmin,now()
2000004,KTA,06-05-2023,Eid al-Fitr,National Holiday,eng,TRUE,superadmin,now()
2000005,KTA,07-15-2023,Feast of the Throne,National Holiday,eng,TRUE,superadmin,now()
2000006,KTA,08-12-2023,Eid al-Adha,National Holiday,eng,TRUE,superadmin,now()
2000007,KTA,08-14-2023,Anniversary of the Recovery Oued Ed-Dahab,National Holiday,eng,TRUE,superadmin,now()
2000008,KTA,08-20-2023,Anniversary of the Revolution of the King and the People,National Holiday,eng,TRUE,superadmin,now()
2000009,KTA,08-21-2023,Youth Day,National Holiday,eng,TRUE,superadmin,now()
2000010,KTA,09-01-2023,Hijra New Year,National Holiday,eng,TRUE,superadmin,now()
2000011,KTA,11-06-2023,Anniversary of the Green March,National Holiday,eng,TRUE,superadmin,now()
2000012,KTA,11-10-2023,The Prophet Muhammad's Birthday,National Holiday,eng,TRUE,superadmin,now()
2000013,KTA,11-18-2023,Independence Day,National Holiday,eng,TRUE,superadmin,now()
2000001,RBT,01-01-2023,New Year's Day,National Holiday,eng,TRUE,superadmin,now()
2000002,RBT,01-11-2023,Anniversary of the Independence Manifesto,National Holiday,eng,TRUE,superadmin,now()
2000003,RBT,05-01-2023,Labour Day/May Day,National Holiday,eng,TRUE,superadmin,now()
2000004,RBT,06-05-2023,Eid al-Fitr,National Holiday,eng,TRUE,superadmin,now()
2000005,RBT,07-30-2023,Feast of the Throne,National Holiday,eng,TRUE,superadmin,now()
2000006,RBT,08-12-2023,Eid al-Adha,National Holiday,eng,TRUE,superadmin,now()
2000007,RBT,08-14-2023,Anniversary of the Recovery Oued Ed-Dahab,National Holiday,eng,TRUE,superadmin,now()
2000008,RBT,08-20-2023,Anniversary of the Revolution of the King and the People,National Holiday,eng,TRUE,superadmin,now()
2000010,RBT,09-01-2023,Hijra New Year,National Holiday,eng,TRUE,superadmin,now()
